"id","name"
"272","2Xu"
"292","6KU"
"293","6KU"
"1","Abus"
"334","Achielle"
"384","Ado"
"376","Adriatica"
"320","Adventure"
"2","Airnimal"
"3","Alpina"
"4","Altura"
"280","Ammaco"
"352","Apollo"
"5","Argon 18"
"355","Assist"
"6","Assos"
"7","Atala"
"311","Baboo"
"8","Bakfiets"
"9","Banshee"
"10","Barracuda"
"11","Basil"
"336","Basil"
"12","Basso"
"13","Batavus"
"329","Batribike"
"14","BBB"
"15","Bear Bicycles"
"16","Belfast Puncture"
"17","Bell"
"282","Bentini"
"18","Berg"
"19","Bern"
"374","Bezior"
"20","BH"
"313","BH Electric Bikes"
"21","BHB"
"22","Bianchi"
"379","Bici Capace"
"274","Bikkel"
"23","Blue"
"24","BMC"
"353","Boardman"
"289","Bobbin Bicycles"
"290","Bobbin Bicycles"
"25","Bobike"
"273","Bolle"
"26","Bottecchia"
"261","Brand Lux"
"27","Brick Lane Bikes"
"28","Brompton"
"29","BSP"
"30","Cahill"
"31","Campagnolo"
"32","Cannondale"
"33","Carraro"
"354","Carrera"
"304","Carter"
"34","Castelli"
"349","Castello"
"35","Cat-Eye"
"36","Cervelo"
"37","Charge"
"38","CI Ebike"
"39","Cinelli"
"341","Cipollini"
"40","Claud Butler"
"41","Colnago"
"363","Colony"
"42","Concept"
"43","Continental"
"44","Cooper"
"45","Corratec"
"46","Cortina"
"47","Cotic"
"48","Cove"
"49","Create"
"50","Creme"
"302","Cross"
"51","Cube"
"295","Cuda"
"52","Da Vinci"
"53","Dahon"
"54","Dawes"
"55","De Rosa"
"56","Dedacciai"
"57","Delta"
"279","Dema"
"58","Devinci"
"356","Devron"
"59","Diamondback"
"60","DMR"
"61","Dolan"
"301","Dolly"
"62","Drag"
"63","Draisin Ability Cycling"
"64","Ducati"
"339","DUPE Sona Bikes"
"65","Dutchie"
"66","Dynatek"
"67","Easton"
"68","Eddy Merckx"
"69","Electra"
"365","Electric Avenue"
"70","Elite"
"283","Emmelle"
"372","Engwe"
"288","Ergo Pro Bike"
"314","Ergo Pro Bikes"
"71","Etxeondo"
"72","Eurotrek"
"73","Exustar"
"343","Factor"
"74","Falcon"
"75","Fastrider"
"76","Felt"
"389","Fiftyonebikes"
"345","Fiido"
"77","Flanders"
"78","Flybikes BMX"
"79","Focus"
"80","Foes"
"81","Foffa"
"82","Fondriest"
"299","Force"
"83","Form"
"84","Forme"
"85","Fox"
"86","Free Spirit"
"87","Fuji"
"88","Garmin"
"89","Gary Fisher"
"90","Gazelle"
"91","Genesis"
"92","Genuine Innovations"
"93","Georgia in Dublin"
"94","Gepida"
"95","Ghost"
"96","Giant"
"97","Giant Electric Bikes"
"98","Giant Foldable Bikes"
"99","Giordana"
"100","Giro"
"262","Gleekjhkjhkj"
"327","Go Cycle"
"101","GoEco"
"373","GoGoBest"
"276","Gouden Leeuw"
"102","Green Effect"
"103","GT"
"344","Guerciotti"
"104","Guru"
"348","Haibike"
"105","Halcyon"
"106","Halo"
"107","Haro"
"108","Hase"
"109","Hawk Classic"
"369","Hiland"
"388","Himo"
"340","Himo Electric Bikes"
"347","Hoca"
"110","HP Velotechnik Recumbent Bikes"
"111","Huffy"
"112","Ibis"
"113","Identiti"
"305","Ignite"
"114","Imagine"
"357","Indi"
"358","Indur"
"115","Intense"
"116","Iron Horse"
"117","Italwin"
"118","Izip"
"342","J. Guillem"
"263","james test brand sync"
"119","Johnny Loco"
"281","Jupiter"
"120","K-Lite"
"121","Kalkhoff"
"267","Kask"
"122","Kelly"
"123","Kenbay"
"124","Kestrel"
"125","KHS"
